,Name_POI,Name_POI.1,Longitude,Latitude,Category,Checkin user number,Category_en
744,招银大厦, China Merchants Bank Building,114.26367,30.59368,楼宇,331,Building
746,中铁四院, China Railway Fourth Hospital,114.344693,30.601822,楼宇,328,Building
748,光谷银座, Optics Valley Ginza,114.39201,30.51143,楼宇,328,Building
753,平安大厦, Ping An Building,114.2912,30.57877,楼宇,324,Building
1468,中商广场写字楼, China Business Plaza Office Building,114.33171,30.53594,楼宇,142,Building
1139,2008新长江广场, 2008 New Yangtze Plaza,114.31813,30.55288,楼宇,202,Building
1641,湖北科教大厦, Hubei Science and Education Building,114.33901,30.54442,楼宇,123,Building
1472,丝宝国际大厦, Sibao International Building,114.29274,30.62246,楼宇,141,Building
826,福星国际商会大厦, Fuxing International Chamber of Commerce Building,114.27559,30.58848,楼宇,291,Building
1477,中南大厦, Zhongnan Building,114.33583,30.54195,楼宇,141,Building
845,长江日报社, Changjiang Daily,114.278771,30.603414,楼宇,284,Building
976,中南国际城A座, Zhongnan International City A seat,114.33007,30.53393,楼宇,245,Building
965,国光大厦, Guoguang Building,114.39973,30.51252,楼宇,248,Building
899,光谷时代广场, Optics Valley Times Square,114.413295,30.501675,楼宇,268,Building
950,汉商大厦, Hanshang Building,114.26657,30.54912,楼宇,252,Building
821,汉口北国际商品交易中心, Hankou North International Commodity Trading Center,114.313946,30.699483,楼宇,294,Building
1107,中国移动通信武汉移动综合大楼, China Mobile Communications Wuhan Mobile Complex,114.25649,30.61409,楼宇,209,Building
766,光谷商业中心, Optics Valley Commercial Center,114.39738,30.50748,楼宇,319,Building
1371,中石油大厦, PetroChina Building,114.23929,30.62445,楼宇,157,Building
1630,阜华大厦, Fuhua Building,114.35365,30.52604,楼宇,124,Building
691,湖北经视大厦, Hubei Jingshi Building,114.33769,30.54772,楼宇,353,Building
696,新世界中心A座, New World Center A seat,114.26662,30.57893,楼宇,351,Building
41,光谷软件园, Optics Valley Software Park,114.403097,30.474922,楼宇,3954,Building
124,市民之家, Citizen's House,114.295082,30.660121,楼宇机构,1850,Building agency
1672,武汉市公安局出入境管理处(江南光谷受理中心), Exit-Entry Administration Department of Wuhan Public Security Bureau ( Jiangnan Optics Valley Acceptance Center ),114.386256,30.514583,楼宇机构,121,Building agency
96,南国首义汇, Nanguo Shouyihui,114.30371,30.534801,楼宇机构,2118,Building agency
1071,武汉市公安局出入境管理处, Exit-Entry Administration Department of Wuhan Public Security Bureau,114.309942,30.604253,楼宇机构,218,Building agency
1434,世茂龙湾（一期）商业, Shimao Longwan (Phase I) Commercial,114.093093,30.469482,楼宇机构,148,Building agency
302,北冰洋城市广场, Arctic Ocean City Plaza,114.142799,30.621849,楼宇机构,826,Building agency
1517,楚河汉街, Chu River Han Street,114.28146,30.57814,楼宇机构,136,Building agency
340,大武汉1911, Great Wuhan 1911,114.262726,30.615949,楼宇机构,730,Building agency
59,华侨城欢乐谷, OCT Happy Valley,114.386473,30.58842,楼宇机构,2988,Building agency
228,奥山世纪广场, Ousan Century Plaza,114.360809,30.615746,楼宇机构,1049,Building agency
1417,湖北大学小礼堂, Hubei University Small Auditorium,114.333679,30.575893,楼宇机构,150,Building agency
1511,交通银行武汉分行, Bank of Communications Wuhan Branch,114.281296,30.601755,楼宇机构,136,Building agency
844,福星惠誉·水岸星城A区(西门), Fortune Star Fitch · Waterfront Star City A Area ( Simon ),114.346407,30.577784,楼宇大门,284,Building gate
1638,咖啡小镇, coffee town,114.287782,30.59679,咖啡厅,123,Cafe
1210,星巴克(大润发店), Starbucks ( RT-Mart Store ),114.266306,30.610078,咖啡厅,186,Cafe
331,星巴克(南湖城市广场店), Starbucks ( Nanhu City Plaza Store ),114.325168,30.50488,咖啡厅,754,Cafe
1441,遇见coffee吧, meet coffee Bar,114.308486,30.552459,咖啡厅,147,Cafe
204,星巴克(菱角湖万达广场), Starbucks ( Water chestnut lake Wanda Plaza ),114.269739,30.609769,咖啡厅,1227,Cafe
392,Costa coffee(新世界K11店), Costa coffee( new world K11 shop ),114.265596,30.579392,咖啡厅,637,Cafe
55,星巴克咖啡(光谷店), Starbucks coffee ( Optics Valley Store ),114.400897,30.505691,咖啡厅,3220,Cafe
258,星巴克(新世界店), Starbucks ( Shinsegae store ),114.266454,30.579048,咖啡厅,951,Cafe
577,jamaicablue(武汉天地店), jamaicablue( Wuhan Tiandi Store ),114.310333,30.607809,咖啡厅,425,Cafe
1401,查理布朗咖啡店, Charlie Brown Coffee Shop,114.291628,30.576423,咖啡厅,153,Cafe
1635,禅石咖啡, Zen Stone Coffee,114.402131,30.505508,咖啡厅,124,Cafe
140,星巴克(群光店), Starbucks ( Qunguangdian ),114.35576,30.52561,咖啡厅,1624,Cafe
1029,左佐zozo咖啡鸡尾酒, Zuo Zuo zozo coffee cocktail,114.300724,30.589323,咖啡厅,231,Cafe
618,帝豪咖啡, Emgrand Coffee,114.13807,30.62081,咖啡厅,391,Cafe
288,"ZOO,coffee(1911大武汉店)"," ZOO, coffee (1911 Da Wuhan Store )",114.262254,30.615879,咖啡厅,864,Cafe
127,星巴克(徐东销品茂店), Starbucks ( Xudong Pinmao Store ),114.34377,30.589054,咖啡厅,1814,Cafe
631,星巴克(武汉司门口店), Starbucks ( Wuhan Simen Store ),114.305157,30.547339,咖啡厅,385,Cafe
1196,cafe green青咖, cafe green green coffee,114.297295,30.602901,咖啡厅,188,Cafe
347,星巴克(武汉大学店), Starbucks ( Wuhan University Store ),114.356806,30.533201,咖啡厅,716,Cafe
247,星巴克 Starbucks(花园道店), Starbucks Starbucks( Garden Road Store ),114.265796,30.595675,咖啡厅,988,Cafe
334,融园咖啡, Rongyuan Coffee,114.30921,30.55212,咖啡厅,751,Cafe
1420,星巴克(武汉菩提金国际广场店), Starbucks ( Wuhan Bodhi Gold International Plaza Store ),114.338915,30.548725,咖啡厅,150,Cafe
363,伊莉维尔, Eliville,114.31085,30.60777,糕饼店,682,Cake shop
219,DreamCity City昙华林主题奶茶铺 Dream, DreamCity City Tanhualin Theme Milk Tea Shop Dream,114.30923,30.55225,糕饼店,1133,Cake shop
1333,杯子和糖, cup and sugar,114.269,30.5485,糕饼店,162,Cake shop
1368,DQ 新佳丽店 DQ, DQ New Belle Store DQ,114.29039,30.57844,糕饼店,158,Cake shop
1344,DQ 新世界K11新食艺店 DQ, DQ new world K11 new food shop DQ,114.26627,30.57818,糕饼店,161,Cake shop
580,85度C面包坊(吉庆街店), 85 Spend C bakery ( Jiqing Street Store ),114.293426,30.585167,糕饼店,423,Cake shop
1568,DQ 航天双城店, DQ Aerospace Shuangcheng Store,114.3174,30.62445,糕饼店,130,Cake shop
1239,DQ 民众乐园店, DQ People's Paradise Store,114.28709,30.5758,糕饼店,179,Cake shop
6,世界城光谷步行街, World City Optics Valley Pedestrian Street,114.40231,30.50629,特色商业街,12530,Characteristic commercial street
237,汉正街第一大道(汉正街), Hanzheng Street First Avenue ( Hanzheng Street ),114.27655,30.56658,特色商业街,1026,Characteristic commercial street
923,汉正街, Hanzheng Street,114.28166,30.56689,特色商业街,260,Characteristic commercial street
168,江汉路步行商业街, Jianghan Road Pedestrian Commercial Street,114.29726,30.57686,特色商业街,1426,Characteristic commercial street
11,武汉天地, Wuhan Tiandi,114.310077,30.607453,特色商业街,8345,Characteristic commercial street
467,江汉路步行商业街(泰宁里小区东南), Jianghan Road Pedestrian Commercial Street ( Southeast of Tainingli Community ),114.28756,30.58352,特色商业街,538,Characteristic commercial street
335,青山天河国际影城, Qingshan Tianhe International Cinema,114.398314,30.640516,电影院,747,Cinema
212,江汉环球电影城, Jianghan Universal Cinema,114.299947,30.547453,电影院,1160,Cinema
213,横店影视电影城, Hengdian Film and Television City,114.291451,30.579241,电影院,1159,Cinema
149,巨幕影城(武汉光谷广场资本大厦店), Giant Screen Studios ( Wuhan Optics Valley Plaza Capital Building Store ),114.3997,30.50451,电影院,1534,Cinema
194,武汉金逸国际影城王家湾店, Wuhan Jinyi International Cinema Wangjiawan Branch,114.206451,30.558856,电影院,1283,Cinema
222,湖北银兴乐天影城（西园旗舰店）, Hubei Yinxing Lotte Cinema (Xiyuan Flagship Store),114.268465,30.585431,电影院,1111,Cinema
135,万达国际影城经开店, Wanda International Cinema opens a store,114.173749,30.507701,电影院,1669,Cinema
243,CGV星星国际影城, CGV Star International Studios,114.3102,30.60751,电影院,1004,Cinema
161,武汉万达影城汉商店, Wuhan Wanda Cinema Han Store,114.26689,30.54916,电影院,1466,Cinema
98,金逸国际电影城, Jinyi International Film City,114.34186,30.58778,电影院,2105,Cinema
1367,环艺天河影城, Universal Art Tianhe Cinema,114.210486,30.560117,电影院,158,Cinema
885,中影国际影城（武汉东购店）, China Film International Cinema (Wuhan Donggou Store),114.318471,30.624868,电影院,273,Cinema
21,武汉万达菱角湖店, Wuhan Wanda Lingjiao Lake Store,114.26901,30.60977,电影院,5954,Cinema
735,亚贸兴汇影城, Asia Trade Xinghui Cinema,114.34292,30.529441,电影院,334,Cinema
43,武商摩尔国际电影城, Wushang Moore International Film City,114.271182,30.581051,电影院,3876,Cinema
44,武汉万达影城, Wuhan Wanda Cinema,114.29175,30.57796,电影院,3864,Cinema
1126,世贸广场环艺银兴电影城, World Trade Plaza Huanyi Yinxing Cinema,114.268982,30.58013,电影院,206,Cinema
61,中影天河国际影城,China Film Tianhe International Cinema,114.399855,30.505086,电影院,2877,Cinema
132,武汉万达影城春树里店, Wuhan Wanda Cinema Chunshuli Branch,114.36032,30.57545,电影院,1696,Cinema
75,武汉环艺新民众电影城, Wuhan Huanyi New People's Film City,114.287203,30.576031,电影院,2524,Cinema
197,洪山天河国际影城, Hongshan Tianhe International Cinema,114.35448,30.525859,电影院,1276,Cinema
592,华谊兄弟武汉影院黄陂店, Huayi Brothers Wuhan Cinema Huangpi Store,114.375957,30.880612,电影院,410,Cinema
196,華誼兄弟武汉影院, Huayi Brothers Wuhan Cinema,114.41175,30.47826,电影院,1278,Cinema
1276,武昌八一路, Wuchang Bayi Road,114.341298,30.54059,服装鞋帽皮具店,171,"Clothing, shoe, hat leather shop"
398,武汉大学正门, Main entrance of Wuhan University,114.365503,30.529797,高等院校,629,College
1347,湖北艺术职业学院(北门), Hubei Art Vocational College ( North Gate ),114.34688,30.52814,高等院校,160,College
376,湖北中医学院(昙华林), Hubei University of Traditional Chinese Medicine ( Tan Hualin ),114.31414,30.55011,高等院校,671,College
240,华中师范大学(南门), Huazhong Normal University ( South Gate ),114.35736,30.51424,高等院校,1015,College
1109,华中师范大学七号楼," Building 7, Central China Normal University",114.367592,30.514828,高等院校,209,College
721,武汉市财政大学(西院), Wuhan University of Finance ( West Court ),114.19689,30.56599,高等院校,341,College
1453,中南民族大学10号教学楼, South Central University for Nationalities 10 Teaching Building No.,114.39228,30.49052,高等院校,145,College
1460,湖北艺术职业学院(虎泉街), Hubei Art Vocational College ( Tiger Spring Street ),114.371485,30.510767,高等院校,143,College
338,武汉科技学院阳光校区, Wuhan University of Science and Technology Sunshine Campus,114.34397,30.37343,高等院校,735,College
755,华中师范大学(西门), Huazhong Normal University ( Simon ),114.35848,30.52129,高等院校,323,College
756,武汉音乐学院(湖北省武昌实验小学西南)," Wuhan Conservatory of Music ( Southwest of Wuchang Experimental Primary School, Hubei Province )",114.29492,30.53825,高等院校,323,College
787,武汉商业服务学院南二门, South Second Gate of Wuhan Business Service College,114.08647,30.45831,高等院校,309,College
1361,武汉大学东湖分校教二楼," Second Floor, Wuhan University East Lake Campus",114.31885,30.42181,高等院校,158,College
218,中南财经政法大学首义校区, Zhongnan University of Economics and Law Shouyi Campus,114.31317,30.5401,高等院校,1133,College
827,湖北美术学院藏龙岛校区, Hubei Academy of Fine Arts Canglong Island Campus,114.416672,30.418026,高等院校,291,College
1008,武汉大学外国语言文学学院," School of Foreign Languages and Literature, Wuhan University",114.37112,30.53904,高等院校,236,College
849,武汉科技大学黄家湖校区教一楼," 1st Floor, Huangjiahu Campus, Wuhan University of Science and Technology",114.2646,30.44057,高等院校,283,College
210,武汉大学(凌波门), Wuhan University ( Limbo Gate ),114.37062,30.54329,高等院校,1176,College
860,武汉大学(西门), Wuhan University ( Simon ),114.35462,30.53919,高等院校,281,College
354,武汉大学经济与管理学院," School of Economics and Management, Wuhan University",114.373037,30.539092,高等院校,692,College
908,武汉理工大学鉴湖四教堂楼," Jianhu Fourth Church Building, Wuhan University of Technology",114.34629,30.51488,高等院校,265,College
1142,武汉软件工程职业学院(北门), Wuhan Software Engineering Vocational College ( North Gate ),114.42921,30.45013,高等院校,201,College
1163,中国地质大学江城学院西门," West Gate of Jiangcheng College, China University of Geosciences",114.335335,30.348884,高等院校,194,College
1298,武汉大学信息学部(北二门)," Department of Informatics, Wuhan University ( North Second Gate )",114.36013,30.53168,高等院校,168,College
417,武汉理工大学西院大礼堂, The Auditorium of the West Campus of Wuhan University of Technology,114.346759,30.522614,高等院校,600,College
312,长江大学武汉校区, Yangtze University Wuhan Campus,114.029245,30.530993,高等院校,794,College
318,武汉大学医学部, Wuhan University School of Medicine,114.3561,30.55326,高等院校,783,College
1387,江汉大学汉口校区(球场路), Jianghan University Hankou Campus ( Stadium Road ),114.29077,30.60151,高等院校,154,College
479,湖北经济学院逸夫教学楼," Yifu Teaching Building, Hubei University of Economics",114.43498,30.41524,高等院校,518,College
506,华中师范大学汉口分校教学楼, Central China Normal University Hankou Branch Teaching Building,114.31624,30.41433,高等院校,483,College
522,湖北财税职业学院西区, Hubei Finance and Taxation Vocational College West District,114.29671,30.51535,高等院校,471,College
1398,武汉商业服务学院(薛峰社区西门西南)," Wuhan Business Service College ( Southwest of Ximen, Xuefeng Community )",114.08792,30.4564,高等院校,153,College
1255,同济学子苑, Tongji Student Garden,114.259137,30.581718,高等院校,175,College
545,中南民族大学工商学院黄家湖校区, South-Central University for Nationalities Business School Huangjiahu Campus,114.271321,30.458993,高等院校,451,College
296,武汉理工大学（鉴湖）, Wuhan University of Technology (Jianhu),114.345459,30.512356,高等院校,844,College
552,中南财经政法大学(南门), Zhongnan University of Economics and Law ( South Gate ),114.31231,30.53348,高等院校,448,College
559,武汉大学法学院, Wuhan University Law School,114.37113,30.53927,高等院校,445,College
562,Building of Foreign Languages&&Arts, Building of Foreign Languages&&Arts,114.27237,30.45821,高等院校,441,College
471,华中师范大学音乐学院, Central China Normal University School of Music,114.3614,30.5156,高等院校,531,College
586,武汉长江工商学院综合楼, Wuhan Changjiang University of Commerce and Industry Comprehensive Building,114.27274,30.45927,高等院校,417,College
1418,武汉科技大学外语外事职业学院, Wuhan University of Science and Technology Vocational College of Foreign Languages and Foreign Affairs,114.42843,30.58805,高等院校,150,College
445,武汉理工大学东院(南门), East Campus of Wuhan University of Technology ( South Gate ),114.35446,30.5138,高等院校,563,College
1172,武汉工程职业技术学院江北校区, Jiangbei Campus of Wuhan Engineering Vocational and Technical College,114.544582,30.706861,高等院校,192,College
1427,华中科技大学南大门, South Gate of Huazhong University of Science and Technology,114.413554,30.507247,高等院校,149,College
1171,武汉职业技术学院西区, West District of Wuhan Vocational and Technical College,114.41021,30.48606,高等院校,192,College
628,武汉科技学院(东湖校区), Wuhan Institute of Technology ( East Lake Campus ),114.37282,30.57892,高等院校,385,College
313,国立武汉大学(南门), National Wuhan University ( South Gate ),114.35795,30.53301,高等院校,794,College
630,华中师范大学体育学院,"School of Physical Education, Central China Normal University",114.35784,30.50988,高等院校,385,College
924,武汉工程大学科教大楼, Science and Education Building of Wuhan University of Technology,114.39029,30.49948,高等院校,259,College
65,武汉大学信息学部," Department of Informatics, Wuhan University",114.359585,30.528172,高等院校,2817,College
1643,湖北美术学院艺术设计学院," School of Art and Design, Hubei Academy of Fine Arts",114.409734,30.400856,高等院校,123,College
37,湖北大学(武昌本部校区), Hubei University ( Wuchang headquarters campus ),114.32936,30.57727,高等院校,4308,College
150,武汉科技大学青山校区, Wuhan University of Science and Technology Qingshan Campus,114.36961,30.62335,高等院校,1526,College
26,中南财经政法大学南湖校区, Zhongnan University of Economics and Law Nanhu Campus,114.38855,30.4789,高等院校,5269,College
1629,中国地质大学汉口校区, China University of Geosciences Hankou Campus,114.2592,30.58608,高等院校,124,College
1653,华中科技大学(航空路), Huazhong University of Science and Technology ( air road ),114.26228,30.58255,高等院校,122,College
120,华中师范大学(东门),Huazhong Normal University ( East Gate ),114.36772,30.51499,高等院校,1872,College
175,湖北警官学院(解放大道), Hubei Police Academy ( Liberation Avenue ),114.20638,30.59159,高等院校,1395,College
13,国立武汉大学, National Wuhan University,114.35844,30.53409,高等院校,7500,College
178,华中师范大学(北门), Huazhong Normal University ( North Gate ),114.36093,30.52418,高等院校,1364,College
1664,武汉大学第10教学楼, Wuhan University No. 1 10 teaching building,114.36083,30.54417,高等院校,121,College
1595,湖北水利水电职业技术学院(武汉禹通驾驶培训学校西南), Hubei Vocational and Technical College of Water Resources and Hydropower ( Southwest of Wuhan Yutong Driving Training School ),114.33905,30.49142,高等院校,127,College
84,武汉大学东湖分校, Wuhan University East Lake Branch,114.316418,30.422749,高等院校,2346,College
143,华中科技大学东校区, East Campus of Huazhong University of Science and Technology,114.43287,30.50605,高等院校,1598,College
1589,江汉大学艺术学院, Jianghan University School of Art,114.1669,30.51877,高等院校,128,College
193,武汉大学工学部, Wuhan University Faculty of Engineering,114.367741,30.544638,高等院校,1286,College
93,武汉理工大学鉴湖校区, Wuhan University of Technology Jianhu Campus,114.34324,30.51309,高等院校,2187,College
85,武汉理工大学马房山校区东院," East Campus, Mafangshan Campus, Wuhan University of Technology",114.35106,30.52153,高等院校,2336,College
1585,华中师范大学汉口分校北大门, North Gate of Central China Normal University Hankou Branch,114.3169,30.41885,高等院校,128,College
170,武汉体育中心体育馆(东广场), Wuhan Sports Center Gymnasium ( East Plaza ),114.17504,30.50074,综合体育馆,1423,Comprehensive Stadium
1655,汉口文化体育中心, Hankou Culture and Sports Center,114.26959,30.60149,综合体育馆,122,Comprehensive Stadium
271,塔子湖体育中心, Tazi Lake Sports Center,114.28396,30.64028,综合体育馆,918,Comprehensive Stadium
320,华中师范大学佑铭体育馆," Youming Gymnasium, Central China Normal University",114.358476,30.515527,综合体育馆,781,Comprehensive Stadium
832,小蓝鲸健康美食城(硚口路店), Little Blue Whale Healthy Food City ( Qiaokou Road Store ),114.25158,30.57476,综合酒楼,290,Comprehensive restaurant
402,武汉纽宾凯新宜休闲酒店(原武汉纽宾凯新宜大酒店), Wuhan New Beacon Xinyi Leisure Hotel ( Former Wuhan New Beacon Xinyi Hotel ),114.31781,30.53965,综合酒楼,626,Comprehensive restaurant
339,武汉中南花园饭店, Wuhan Zhongnan Garden Hotel,114.33525,30.53201,综合酒楼,733,Comprehensive restaurant
1321,艳阳天大酒店汉阳分店, Yanyangtian Hotel Hanyang Branch,114.24851,30.55185,综合酒楼,165,Comprehensive restaurant
572,艳阳天酒家宝丰路店, Yanyangtian Restaurant Baofeng Road Branch,114.25027,30.57572,综合酒楼,430,Comprehensive restaurant
905,鑫龙潭青山大酒店, Xinlongtan Qingshan Hotel,114.39669,30.61893,综合酒楼,267,Comprehensive restaurant
999,沃尔玛购物广场(徐东销品茂店), Walmart Supercenter ( Xudong Pinmao Store ),114.343002,30.58835,便民商店/便利店,239,Convenience Store/Convenience Store
422,沃尔玛购物广场(宗关西汇店), Walmart Supercenter ( Zongguan Xihui Store ),114.22216,30.584009,便民商店/便利店,598,Convenience Store/Convenience Store
1478,家乐福(钟家村店), Carrefour (Zhongjia Village Store ),114.265778,30.549829,便民商店/便利店,141,Convenience Store/Convenience Store
655,大润发超级市场, RT-Mart Supermarket,114.285004,30.5849,便民商店/便利店,370,Convenience Store/Convenience Store
1206,家乐福(二七店), Carrefour ( Erqidian ),114.316208,30.62421,便民商店/便利店,186,Convenience Store/Convenience Store
1030,中百仓储(珞狮路购物广场店), Zhongbai Warehousing ( Luoshi Road Shopping Plaza Store ),114.349847,30.514114,便民商店/便利店,231,Convenience Store/Convenience Store
1209,武汉国际博览中心WH, Wuhan International Expo Center WH,114.243475,30.510723,文化体育类公司,186,Cultural and sports company
543,哈根达斯(汉街店), Haagen-Dazs ( Han Street Store ),114.341148,30.554378,甜品店,453,Dessert shop
650,sweetdream甜蜜的梦, sweetdream Sweet dream,114.286331,30.575878,甜品店,373,Dessert shop
555,哈根达斯 武汉天地店, Haagen-Dazs Wuhan Tiandi Store,114.31272,30.60807,甜品店,448,Dessert shop
416,哈根达斯(大洋店), Haagen-Dazs ( Dayangdian ),114.290047,30.577169,甜品店,601,Dessert shop
768,哈根达斯(武广店), Haagen-Dazs ( wuguangdian ),114.270042,30.58032,甜品店,318,Dessert shop
921,猫屎咖啡武汉南国店, Cat Shit Coffee Wuhan Nanguo Store,114.303729,30.534715,餐饮美食,261,Dining food
1369,豪享来武汉中山店, Haoxianglai Wuhan Zhongshan Store,114.2904,30.58,餐饮美食,158,Dining food
1436,周黑鸭 武昌火车站店, Zhou Hei Ya Wuchang Railway Station,114.31737,30.52855,餐饮美食,148,Dining food
645,绿茵阁西餐厅 销品茂店, Lvyinge Western Restaurant Pinmao Branch,114.34376,30.58903,餐饮美食,375,Dining food
616,3coffee, 3coffee,114.299865,30.586133,餐饮美食,392,Dining food
1067,汤逊湖鱼丸一条街, Tangxun Lake Fish Ball Street,114.37797,30.4241,餐饮美食,219,Dining food
366,九龙大酒店, Kowloon Hotel,114.34406,30.51051,餐饮美食,676,Dining food
1147,井圣时尚料理, Well Saint Fashion Cuisine,114.291915,30.577047,餐饮美食,200,Dining food
656,星巴克咖啡(光谷天地店), Starbucks coffee ( Optics Valley Store ),114.409599,30.478921,餐饮美食,370,Dining food
1349,重庆老火锅, Chongqing old hot pot,114.291099,30.584564,餐饮美食,160,Dining food
1357,香籁概念餐厅 菱角湖万达店, Fragrant Lai Concept Restaurant Lingjiao Lake Wanda Store,114.2685,30.61073,餐饮美食,159,Dining food
813,Helens西餐吧(西园店), Helens western food bar ( West Garden Store ),114.269424,30.584927,餐饮美食,298,Dining food
352,汉街, Han Street,114.331018,30.561613,餐饮美食,698,Dining food
661,新农牛肉 蔡甸总店, Xinnong Beef Caidian Main Store,114.08919,30.5583,餐饮美食,366,Dining food
116,稻香, Daoxiang,114.34613,30.553876,餐饮美食,1897,Dining food
